name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
11 Com b,11 Com,323.21,1.178,,4914.89848585,Msini,radial-velocity,2007,Xinglong Station,,,0.238,,G8 III,4874.0,13.76,2.09,93.1846,185.1787793,17.7932516,cold-jupiter
11 UMi b,11 UMi,516.21997,1.53,,4684.8142,Msini,radial-velocity,2009,Thueringer Landessternwarte Tautenburg,,,0.08,,,4213.0,29.79,2.78,125.321,229.2745954,71.8239428,cold-jupiter
14 And b,14 And,186.76,0.775,,1131.15130051,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.0,,K0 III,4888.0,11.55,1.78,75.4392,352.82415,39.2358367,cold-jupiter
14 Her b,14 Her,1765.0389,2.774,,2559.47216157,Mass,radial-velocity,2002,W. M. Keck Observatory,,,0.373,,,,,0.91,17.9323,242.6021014,43.8163621,cold-jupiter
16 Cyg B b,16 Cyg B,798.5,1.66,,565.7374,Msini,radial-velocity,1996,Multiple Observatories,,,0.68,,,5750.0,1.13,1.08,21.1397,295.4656422,50.5168243,cold-jupiter
17 Sco b,17 Sco,578.38,1.45,,1373.01871824,Msini,radial-velocity,2020,Lick Observatory,,,0.06,,K3 III,4157.0,25.92,1.22,124.953,243.4620874,-11.8377905,cold-jupiter
18 Del b,18 Del,982.85,2.476,,2926.24614325,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.024,,G6 III,4980.0,8.8,2.1,76.222,314.6078375,10.8391378,cold-jupiter
24 Boo b,24 Boo,30.33,0.194,,280.64248338,Msini,radial-velocity,2018,Okayama Astrophysical Observatory,,,0.032,,G3 IV,4816.0,12.19,1.05,95.9863,217.1555242,49.8446488,cold-jupiter
24 Sex b,24 Sex,452.8,1.333,,632.46,Msini,radial-velocity,2010,Lick Observatory,,,0.09,,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998,cold-jupiter
24 Sex c,24 Sex,883.0,2.08,,273.32,Msini,radial-velocity,2010,Lick Observatory,,,0.29,,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998,cold-jupiter
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.8401773159150828,,591.16083702,Msini,other,2015,Kepler,,,0.33,,,29564.0,0.203,0.48,396.332,294.6359173,46.0664076,cold-jupiter
4 UMa b,4 UMa,270.27,0.877,,2511.48007211,Msini,radial-velocity,2006,Thueringer Landessternwarte Tautenburg,,,0.453,,K1 III,4415.0,18.11,1.234,73.4603,130.0528099,64.3280504,cold-jupiter
47 UMa b,47 UMa,1078.0,2.1,,804.08,Msini,radial-velocity,1996,Lick Observatory,,,0.032,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,cold-jupiter
47 UMa c,47 UMa,2391.0,3.6,,171.621,Msini,radial-velocity,2001,Lick Observatory,,,0.098,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,cold-jupiter
47 UMa d,47 UMa,14002.0,11.6,,521.22,Msini,radial-velocity,2009,Lick Observatory,,,0.16,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,cold-jupiter
51 Eri b,51 Eri,9100.0,10.4,,3464.3296363,Mass,direct-imaging,2015,Gemini Observatory,,,0.57,,,,,1.75,29.7575,69.4007424,-2.4738245,cold-jupiter
51 Peg b,51 Peg,4.230785,0.0527,,150.009,Msini,radial-velocity,1995,Haute-Provence Observatory,,,0.013,,,5758.0,1.17561,1.03,15.4614,344.3675399,20.7690958,hot-jupiter
55 Cnc B b,55 Cnc B,6.7994,0.044,,3.5,Msini,radial-velocity,2025,Mauna Kea Observatory,,,0.0,,M4.5 V,3286.0,0.274,0.26,12.4773,133.167908,28.3152863,super-earth
55 Cnc B c,55 Cnc B,33.747,0.13,,5.3,Msini,radial-velocity,2025,Mauna Kea Observatory,,,0.0,,M4.5 V,3286.0,0.274,0.26,12.4773,133.167908,28.3152863,super-earth
55 Cnc b,55 Cnc,14.651552,0.118,,276.0,Msini,radial-velocity,1996,Lick Observatory,,,0.0029,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,cold-jupiter
55 Cnc c,55 Cnc,44.3936,0.247,,56.6,Msini,radial-velocity,2004,McDonald Observatory,,,0.088,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,sub-neptune
55 Cnc d,55 Cnc,4799.0,5.6,,1214.10451474,Msini,radial-velocity,2002,Lick Observatory,,,0.0913,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,cold-jupiter
55 Cnc e,55 Cnc,0.7365474,0.01544,1.875,7.99,Mass,radial-velocity,2004,McDonald Observatory,,6.66,0.05,,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154,super-earth
55 Cnc f,55 Cnc,260.58,0.802,,48.5,Msini,radial-velocity,2007,Multiple Observatories,,,0.063,,G8 V,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154,neptune-like
6 Lyn b,6 Lyn,919.86,2.028,,597.83523357,Msini,radial-velocity,2008,Okayama Astrophysical Observatory,,,0.042,,K0 IV,4941.0,4.94,1.32,54.6599,97.6960311,58.1611753,cold-jupiter
61 Vir b,61 Vir,4.215,0.050201,,5.1,Msini,radial-velocity,2009,Multiple Observatories,,,0.12,,G5 V,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745,super-earth
61 Vir c,61 Vir,38.021,0.2175,,18.2,Msini,radial-velocity,2009,Multiple Observatories,,,0.14,,G5 V,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745,neptune-like
61 Vir d,61 Vir,123.01,0.476,,22.9,Msini,radial-velocity,2009,Multiple Observatories,,,0.35,,G5 V,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745,neptune-like
